RelativePath,Category,Description,Date,Stage,Status,GitCommit,Device,PublicSafe,ContainsPersonalData,ContainsSecrets,BackupPriority,MissingOrPresent,RecommendedAction
Source/TranquilMind/Private/TMResearchRunner.cpp,SourceCode,Research trial state machine (monotonic clock; fixed 400ms exposure; void-once finalization),2026-07-20,Phase1,IMPLEMENTED+AUTOMATION-VERIFIED,UNTRACKED,,Yes,No,No,CRITICAL,Present,Commit immediately; ~3 weeks of work uncommitted
Source/TranquilMind/Private/TMSequenceGenerator.cpp,SourceCode,Deterministic seeded backtracking Go/NoGo sequence generator (SplitMix64 + FNV-1a hash),2026-07-20,Phase1,AUTOMATION-VERIFIED,UNTRACKED,,Yes,No,No,CRITICAL,Present,Commit immediately
Source/TranquilMind/Private/TMTrialLogger.cpp,SourceCode,JSONL session logger schemaVersion 2 (header/trial/block_summary/footer; health latch),2026-07-20,Phase1,AUTOMATION-VERIFIED,UNTRACKED,,Yes,No,No,CRITICAL,Present,Commit immediately
Source/TranquilMind/Private/TMResearchSettings.cpp,SourceCode,OperatingMode DeveloperSettings + tranquilmind.OperatingMode CVar,2026-07-20,Phase1,IMPLEMENTED,UNTRACKED,,Yes,No,No,CRITICAL,Present,Commit immediately
Source/TranquilMind/Private/TMDemoSessionFrame.cpp,SourceCode,Player-relative Demo session frame subsystem (XR readiness; immutable basis; Research-inert),2026-07-27,Pass0B,AUTOMATION-VERIFIED+DEVICE-VERIFIED,UNTRACKED,Quest 2,Yes,No,No,CRITICAL,Present,Commit immediately
Source/TranquilMind/Private/TMVisualMotionComponent.cpp,SourceCode,Presentation motion rig (inert-by-default; ease-in; 0.35s visual exit),2026-07-22,BubbleV3,AUTOMATION-VERIFIED (exit VISUALLY-REJECTED),UNTRACKED,,Yes,No,No,CRITICAL,Present,Commit immediately
Source/TranquilMind/Private/Tests/,SourceCode,23 automation tests across 5 files (sequence; lifecycle; frame; pending-spawn; containment; exit),2026-07-20..28,Phase1..Pass1A,IMPLEMENTED,UNTRACKED,,Yes,No,No,CRITICAL,Present,Commit immediately; re-run full suite and archive summary
Source/TranquilMind/Private/TargetSpawnerComponent.cpp,SourceCode,Spawner: mode gates; pending-spawn handshake; contamination guards; Demo params,2026-07-28,Pass0A..1A,IMPLEMENTED,MODIFIED vs 4c60f0d,,Yes,No,No,CRITICAL,Present,Commit immediately
Source/TranquilMind/Private/Private/Private/TranquilMindTargetActor.cpp,SourceCode,Target actor (nested-path anomaly; material profiles; visual exit; Research ForceInert),2026-07-28,Pass1A,IMPLEMENTED,MODIFIED vs 4c60f0d,,Yes,No,No,CRITICAL,Present,Commit; path cleanup is separate future task
Source/TranquilMind/TranquilMindSessionManager.cpp,SourceCode,Phase machine; hard gate; trial ledger,2026-07-27,Pass0A,IMPLEMENTED,MODIFIED vs 4c60f0d,,Yes,No,No,CRITICAL,Present,Commit immediately
Source/TranquilMind/TranquilMindPhysiologyReceiver.cpp,SourceCode,GSR UDP receiver subsystem (port 4210; thread-safe),2026-07-05,GSR,DEVICE-VERIFIED,789d32c,Quest 2,Yes,No,No,HIGH,Present,Already committed
Source/TranquilMind/TranquilMind_APL.xml,SourceCode,Android manifest injection for Meta Quest VR entry,2026-06-21,Baseline,DEVICE-VERIFIED,committed,Quest 2,Yes,No,No,HIGH,Present,None
Config/DefaultGame.ini,Config,bStartInVR; MapsToCook backstop; OperatingMode=Demo; ResearchConfig serialization,2026-07-28,Pass0C,DEVICE-VERIFIED,MODIFIED vs 4c60f0d,,Yes,No,No,CRITICAL,Present,Commit; contains ProjectID GUID (redact only in published excerpts)
Config/DefaultEngine.ini,Config,GameDefaultMap=Void; Android packaging (com.tranquilmind.vr; SDK 29/35),2026-07-20,Phase1,DEVICE-VERIFIED,committed,,Yes,No,No,HIGH,Present,Fix duplicate [AndroidRuntimeSettings] header (separate task)
Config/Android/AndroidEngine.ini,Config,bPackageForMetaQuest; MobileMultiView; mobile feature disables,2026-06-21,Baseline,DEVICE-VERIFIED,committed,Quest 2,Yes,No,No,HIGH,Present,None
TranquilMind.uproject,Config,UE 5.7 project; OpenXR plugin,2026-06-21,Baseline,DEVICE-VERIFIED,committed,,Yes,No,No,HIGH,Present,None
Content/BP_Target.uasset,BlueprintAsset,Data-only BP over native GameplayAnchor>VisualMotion>Mesh (byte-identical resave verified),2026-07-27,Pass0B,VERIFIED (session record),MODIFIED vs 4c60f0d,,Yes,No,No,HIGH,Present,Commit
Content/BP_TranquilMindRuntime.uasset;Content/BP_TranquilMindVRPawn.uasset,BlueprintAsset,Runtime orchestrator BP and VR pawn BP,2026-06-21,Baseline,DEVICE-VERIFIED,committed,Quest 2,Yes,No,No,HIGH,Present,None
Content/Environment/Materials/M_Bubble_Master.uasset,MaterialAsset,Demo bubble master material (Translucent/Unlit; no SceneColor),2026-07-06..27,Demo,DEVICE-VERIFIED (rendered in Pass0C),UNTRACKED,Quest 2,Yes,No,No,CRITICAL,Present,Commit; TwoSided overdraw + missing bUsedWith flags are known debt
Content/Environment/Materials/MI_Bubble_Go.uasset;MI_Bubble_NoGo.uasset;MI_Bubble_Clear.uasset;MI_Bubble_Selected.uasset,MaterialAsset,Bubble material instances (Clear/Selected authored but unreferenced),2026-07-06..27,Demo,IMPLEMENTED,UNTRACKED,,Yes,No,No,CRITICAL,Present,Commit
Content/MI_Target_Go.uasset;Content/MI_Target_NoGo.uasset;Content/M_TheVoid.uasset,MaterialAsset,Research/Void materials (separate lineage; untouched by bubble work),2026-06-21,Baseline,DEVICE-VERIFIED,committed,Quest 2,Yes,No,No,HIGH,Present,None
Content/L_TranquilMind_Environment.umap;Content/Environment/,MapAsset,Environment map (HDRI Belfast Sunset dome; 7 actors) + textures,2026-07-27,Pass0C,DEVICE-VERIFIED,UNTRACKED,Quest 2,Yes,No,No,CRITICAL,Present,Commit immediately (referenced by cook list yet untracked)
Content/L_TranquilMind_Void.umap,MapAsset,Default/Research map,2026-06-21,Baseline,DEVICE-VERIFIED,committed,Quest 2,Yes,No,No,HIGH,Present,None
Verification/Phase1/20260720_075848/tests/automation_summary.json,TestEvidence,8/8 archived automation pass (fail-closed parsed),2026-07-20,Phase1,AUTOMATION-VERIFIED,run over 4c60f0d,,Yes,No,No,CRITICAL,Present,Commit or copy into evidence backup
Verification/Phase1/20260720_075848/tests/sequence_ue.log,TestEvidence,Raw UE log incl. COMPILED DEFAULT CONTRACT fingerprint line,2026-07-20,Phase1,AUTOMATION-VERIFIED,run over 4c60f0d,,Review,No,No,CRITICAL,Present,Contains local paths; redact before publishing excerpts
